MatchID,TotalSeconds,HomeTeam,RoadTeam,HomeNumberPenalties,RoadNumberPenalties,HomeTeamPMinutes,RoadTeamPMinutes,HomePenaltySum,RoadPenaltySum,HomeGoals-RoadGoals,RoadGoals-HomeGoals,KurtHomePlayers-KurtRoadPlayers,RoadPlayers,HomePlayers,OliverHomePlayers-OliverRoadPlayers,Period,TimeOfPenalty,minutes,seconds,isRegular
2007020123,1951,18,10,1,1,2,2,4,5,1,-1,0,13,12,-1,2,00:12:31,32,31,1
2007020123,3173,18,10,1,2,2,4,8,8,1,-1,0,16,18,2,3,00:12:53,52,53,1
2007020124,893,6,11,1,1,5,5,1,0,-1,1,0,12,11,-1,1,00:14:53,14,53,1
2007020125,2986,19,17,1,2,5,7,1,2,5,-5,0,17,16,-1,3,00:09:46,49,46,1
2007020125,3366,19,17,1,1,2,2,2,4,5,-5,0,12,11,-1,3,00:16:06,56,6,1
2007020126,2739,3,12,1,4,5,19,3,2,2,-2,0,29,30,1,3,00:05:39,45,39,1
2007020127,2099,29,8,2,0,4,0,2,3,1,-1,0,12,11,-1,2,00:14:59,34,59,1
2007020128,1448,21,7,0,2,0,4,1,2,2,-2,0,11,12,1,2,00:04:08,24,8,1
2007020129,3292,9,25,1,1,2,2,5,3,1,-1,0,11,12,1,3,00:14:52,54,52,1
2007020130,887,16,20,1,3,5,17,2,1,-3,3,0,22,22,0,1,00:14:47,14,47,1
2007020130,1399,16,20,1,1,5,5,3,4,-3,3,0,13,11,-2,2,00:03:19,23,19,1
2007020131,702,13,4,1,1,5,5,0,0,0,0,0,12,11,-1,1,00:11:42,11,42,1
2007020131,1958,13,4,1,1,2,2,3,4,0,0,0,12,11,-1,2,00:12:38,32,38,1
2007020131,3600,13,4,0,1,0,2,5,7,2,-2,0,0,0,0,3,00:20:00,60,0,1
2007020135,145,12,7,1,1,2,2,0,0,0,0,0,12,11,-1,1,00:02:25,2,25,1
2007020135,469,12,7,1,2,5,7,1,1,1,-1,0,18,16,-2,1,00:07:49,7,49,1
2007020135,1843,12,7,1,1,5,5,3,4,2,-2,0,12,11,-1,2,00:10:43,30,43,1
2007020137,3361,6,20,1,1,2,2,4,4,0,0,0,12,11,-1,3,00:16:01,56,1,1
2007020139,1933,19,22,1,1,2,2,2,0,0,0,0,11,12,1,2,00:12:13,32,13,1
2007020140,2027,3,25,1,1,2,2,3,2,-1,1,0,12,11,-1,2,00:13:47,33,47,1
2007020140,2226,3,25,1,1,2,2,4,3,-1,1,0,12,11,-1,2,00:17:06,37,6,1
2007020141,1118,29,2,1,1,5,5,4,1,-4,4,0,12,11,-1,1,00:18:38,18,38,1
2007020141,2035,29,2,1,1,2,2,7,3,-4,4,0,12,11,-1,2,00:13:55,33,55,1
2007020141,3501,29,2,0,1,0,2,10,6,-2,2,3,6,9,3,3,00:18:21,58,21,1
2007020143,1012,9,26,0,2,0,4,0,1,2,-2,0,11,12,1,1,00:16:52,16,52,1
2007020143,1451,9,26,1,2,5,7,0,3,2,-2,0,14,18,4,2,00:04:11,24,11,1
2007020146,542,13,7,1,1,5,5,0,2,0,0,0,12,11,-1,1,00:09:02,9,2,1
