ELD,FD,LOG,LR,absLR,class,ID
3.9981,3.9981,104.1306,1.4729,3.9981,1,143
3.9981,3.9981,105.2708,0.5028,3.9981,1,35
3.9981,3.9981,105.1658,0.6078,3.9981,1,64
3.9981,3.9981,105.1658,0.6078,3.9981,1,178
3.9981,3.9981,105.2708,0.5028,3.9981,1,99
2.619,0,104.7858,0.8826,2.619,1,223
2.619,0,106.5161,0.8477,2.619,1,27
2.619,0,105.6509,0.0174,2.619,1,86
2.619,0,104.8907,0.8826,2.619,1,153
2.619,0,102.8853,1.7477,2.619,1,33
2.619,0,103.1604,1.7477,2.619,1,112
2.619,0,104.8907,0.8826,2.619,1,13
2.619,0,104.7858,0.8826,2.619,1,204
2.619,0,104.8256,0.8826,2.619,1,164
2.619,0,106.5161,0.8477,2.619,1,239
2.619,0,105.6509,0.0174,2.619,1,90
2.619,0,105.7559,0.0174,2.619,1,117
2.619,0,105.7559,0.0174,2.619,1,128
2.619,0,106.5161,0.8477,2.619,1,49
2.619,0,105.7559,0.0174,2.619,1,202
2.619,0,105.7559,0.0174,2.619,1,66
2.619,0,106.4509,0.8477,2.619,1,83
2.619,0,102.9505,1.7477,2.619,1,237
2.619,0,103.0953,1.7477,2.619,1,173
2.619,0,105.7559,0.0174,2.619,1,167
2.619,0,102.8853,1.7477,2.619,1,76
2.619,0,105.6509,0.0174,2.619,1,93
2.619,0,104.8907,0.8826,2.619,1,114
2.619,0,106.5161,0.8477,2.619,1,206
