ELD,FD,LOG,LR,absLR,class,ID
18.8536,11.541,70.0325,1.0633,13.6803,1,150
34.1006,23.5745,83.1036,4.5664,13.0485,1,128
34.1006,23.5745,83.1036,4.5664,13.0485,1,236
34.1006,23.5745,83.1036,4.5664,13.0485,1,63
34.1006,23.5745,83.1036,4.5664,13.0485,1,185
34.1006,23.5745,83.1036,4.5664,13.0485,1,25
34.1006,23.5745,83.1298,4.5664,13.0485,1,126
34.1006,23.5745,83.1036,4.5664,13.0485,1,4
34.1006,23.5745,83.1036,4.5664,13.0485,1,233
34.1006,23.5745,83.1036,4.5664,13.0485,1,42
13.6988,9.6786,87.4346,4.5141,12.9064,1,30
13.6988,9.6786,83.1559,4.5141,12.9064,1,89
13.6988,9.6786,87.4607,4.5141,12.9064,1,152
13.6988,9.6786,85.0869,4.5141,12.9064,1,62
13.6988,9.6786,83.1821,4.5141,12.9064,1,7
13.6988,9.6786,87.4607,4.5141,12.9064,1,159
13.6988,9.6786,87.4346,4.5141,12.9064,1,205
13.6988,9.6786,85.0869,4.5141,12.9064,1,36
13.6988,9.6786,87.4607,4.5141,12.9064,1,136
13.6988,9.6786,83.1559,4.5141,12.9064,1,86
29.006,19.5707,78.7466,1.0882,12.2049,1,117
29.006,19.5707,78.7466,1.0882,12.2049,1,124
29.006,19.5707,78.7466,1.0882,12.2049,1,131
29.006,19.5707,78.7466,1.0882,12.2049,1,139
29.006,19.5707,78.7466,1.0882,12.2049,1,175
29.006,19.5707,78.7466,1.0882,12.2049,1,28
29.006,19.5707,78.7204,1.0882,12.2049,1,45
29.006,19.5707,78.7204,1.0882,12.2049,1,52
29.006,19.5707,78.7204,1.0882,12.2049,1,85
29.006,19.5707,78.7466,1.0882,12.2049,1,156
29.006,19.5707,78.7466,1.0882,12.2049,1,235
29.006,19.5707,78.7204,1.0882,12.2049,1,3
29.006,19.5707,78.7204,1.0882,12.2049,1,91
29.006,19.5707,78.7466,1.0882,12.2049,1,144
29.006,19.5707,78.7466,1.0882,12.2049,1,216
29.006,19.5707,78.7466,1.0882,12.2049,1,227
29.006,19.5707,78.7466,1.0882,12.2049,1,147
29.006,19.5707,78.7204,1.0882,12.2049,1,46
29.006,19.5707,78.7204,1.0882,12.2049,1,82
29.006,19.5707,78.7204,1.0882,12.2049,1,9
17.908,11.541,78.7727,1.062,12.0419,1,171
17.908,11.541,78.7727,1.062,12.0419,1,193
17.908,11.541,78.7727,1.062,12.0419,1,218
17.908,11.541,78.7727,1.062,12.0419,1,34
17.908,11.541,78.7727,1.062,12.0419,1,67
17.908,11.541,78.7727,1.062,12.0419,1,123
17.908,11.541,78.7727,1.062,12.0419,1,196
17.908,11.541,78.7727,1.062,12.0419,1,13
17.908,11.541,78.7727,1.062,12.0419,1,173
17.908,11.541,78.7727,1.062,12.0419,1,195
17.908,11.541,78.7727,1.062,12.0419,1,199
17.908,11.541,78.7727,1.062,12.0419,1,69
17.908,11.541,78.7466,1.062,12.0419,1,98
17.908,11.541,78.7727,1.062,12.0419,1,169
17.908,11.541,78.7727,1.062,12.0419,1,215
17.908,11.541,78.7727,1.062,12.0419,1,222
17.908,11.541,78.7727,1.062,12.0419,1,57
17.908,11.541,78.7466,1.062,12.0419,1,97
22.4119,15.5559,74.3895,0.4937,9.2464,1,11
22.4119,15.5559,74.3895,0.4937,9.2464,1,179
22.4119,15.5559,74.3895,0.4937,9.2464,1,203
22.4119,15.5559,74.3895,0.4937,9.2464,1,16
22.4119,15.5559,74.3895,0.4937,9.2464,1,192
22.4119,15.5559,74.3895,0.4937,9.2464,1,202
22.4119,15.5559,74.3895,0.4937,9.2464,1,220
22.4119,15.5559,74.3634,0.4937,9.2464,1,59
22.4119,15.5559,74.3895,0.4937,9.2464,1,133
22.4119,15.5559,74.3895,0.4937,9.2464,1,162
22.4119,15.5559,74.3634,0.4937,9.2464,1,238
22.4119,15.5559,74.3895,0.4937,9.2464,1,10
22.4119,15.5559,74.3895,0.4937,9.2464,1,14
22.4119,15.5559,74.3895,0.4937,9.2464,1,194
