FromNodeId,ToNodeId,ACTION,Occurrences,ActionValue
811,31153,PENALTY,85,-0.05167073303308062
43,31221,PENALTY,42,-0.041787655449983085
1196,31370,PENALTY,38,-0.07794960286236507
1351,31795,PENALTY,18,-0.0906792513646949
18,31827,PENALTY,20,-0.11609012488127785
1343,31927,PENALTY,74,-0.10182662112789331
2247,32341,PENALTY,20,-0.12927381327885978
1196,32347,PENALTY,30,-0.07169488677124797
671,33621,PENALTY,17,-0.10829664626641228
187,35153,PENALTY,58,-0.06680515185897196
187,35182,PENALTY,48,-0.06964671111463239
3755,35307,PENALTY,15,-0.09765684481746933
62,35440,PENALTY,81,-0.09419939328378468
656,35634,PENALTY,22,0.0038374464664375774
958,35644,PENALTY,20,-0.13144034848848823
4383,36002,PENALTY,38,-0.13400688528147697
647,36169,PENALTY,167,-0.09217964328732914
2884,36813,PENALTY,22,-0.12078619023910853
9206,36925,PENALTY,32,-0.08099551293615775
303,36968,PENALTY,42,-0.12447056791971595
711,38781,PENALTY,30,-0.13558914781043968
2273,38883,PENALTY,64,-0.13173639749320187
779,39618,PENALTY,21,-0.1421703525940884
2231,40059,PENALTY,31,-0.15106323582825343
183,40207,PENALTY,24,-0.06075694285913169
2502,40255,PENALTY,29,-0.11339478729760816
18,40470,PENALTY,23,-0.1290278494396584
86,40748,PENALTY,48,-0.07599532288551925
1200,41000,PENALTY,26,-0.022923953002964292
1844,41208,PENALTY,17,-0.11661360538399868
2605,41824,PENALTY,22,-0.06487525395633564
2625,41826,PENALTY,15,-0.034704622304335686
2969,42087,PENALTY,18,-0.1301407851835334
1326,42243,PENALTY,39,-0.14137595579873047
1028,43226,PENALTY,34,-0.13358522362171593
1868,43297,PENALTY,16,-0.10577124061262694
159,43573,PENALTY,24,-0.034031473275797086
695,43966,PENALTY,110,-0.12382891393296358
171,44317,PENALTY,18,-0.14262963187247257
142,44344,PENALTY,53,-0.127903650134919
31,44427,PENALTY,53,-0.13571447992156627
1396,45615,PENALTY,30,-0.027875877827918782
1804,46467,PENALTY,24,-0.10732450301450641
94,47421,PENALTY,27,-0.13697826326962953
4062,48362,PENALTY,21,0.044454802391409365
281,48536,PENALTY,25,-0.13456683206385922
2897,48570,PENALTY,15,-0.10670471887481048
2979,48599,PENALTY,21,-0.027150227800342874
1381,48832,PENALTY,16,-0.04221082016923017
760,48854,PENALTY,28,-0.0971996486106686
380,49560,PENALTY,58,-0.08631407571064337
75,50168,PENALTY,96,-0.11531150825464498
1000,51086,PENALTY,28,-0.10893465710581257
4882,51262,PENALTY,16,-0.05334276133793103
2760,51418,PENALTY,16,-0.13965178837002978
478,52692,PENALTY,20,-0.014093611696202879
5397,52830,PENALTY,34,-0.09846898428974249
3174,53660,PENALTY,15,-0.11279174504680711
4243,55515,PENALTY,18,0.00033147087754964444
4243,57058,PENALTY,21,-0.010646248203492248
1197,57909,PENALTY,22,-0.1341815047381844
43,58399,PENALTY,24,-0.011136316154468917
1000,58668,PENALTY,36,-0.11302177631249732
678,58687,PENALTY,28,-0.10653814552115326
1365,58750,PENALTY,21,-0.11821916500799523
1000,59742,PENALTY,20,-0.10157784253378027
1373,59810,PENALTY,18,-0.11561509991677338
391,61737,PENALTY,17,-0.09202911211674808
1006,62252,PENALTY,22,-0.11167515424785163
