Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,SSIRank
2013-2014,Regular Season,8460496,Ryan Smyth,4.854107917,315
2013-2014,Regular Season,8468611,Matt Hendricks,4.835426103,316
2013-2014,Regular Season,8474594,Slava Voynov,4.813243092,317
2013-2014,Regular Season,8470724,Kyle Quincey,4.779360503,318
2013-2014,Regular Season,8469531,Jay Harrison,4.767179376,319
2013-2014,Regular Season,8476458,Ryan Strome,4.765204281,320
2013-2014,Regular Season,8468501,Anton Volchenkov,4.761950878,321
2013-2014,Regular Season,8474727,Ben Smith,4.7427267,322
2013-2014,Regular Season,8474605,Patrick Wiercioch,4.724637543,323
2013-2014,Regular Season,8475287,Erik Haula,4.72025904,324
2013-2014,Regular Season,8470358,Alexandre Burrows,4.718306865,325
2013-2014,Regular Season,8470601,Braydon Coburn,4.71372782,326
2013-2014,Regular Season,8474685,Matt Calvert,4.712012657,327
2013-2014,Regular Season,8475176,Ryan Ellis,4.679471624,328
2013-2014,Regular Season,8462129,Michal Handzus,4.651963344,329
2013-2014,Regular Season,8473991,Karl Alzner,4.634960627,330
2013-2014,Regular Season,8475798,Mikael Granlund,4.624547493,331
2013-2014,Regular Season,8474520,Jason Garrison,4.621926978,332
2013-2014,Regular Season,8471956,Andrew Desjardins,4.612297487,333
2013-2014,Regular Season,8476432,Boone Jenner,4.591027357,334
2013-2014,Regular Season,8471232,Lauri Korpikoski,4.527888287,335
2013-2014,Regular Season,8474577,Joe Colborne,4.518701568,336
2013-2014,Regular Season,8475200,Dmitry Orlov,4.496613188,337
2013-2014,Regular Season,8475650,Brandon Bollig,4.455047376,338
2013-2014,Regular Season,8470180,Eric Nystrom,4.452298018,339
2013-2014,Regular Season,8473962,Teddy Purcell,4.450457403,340
2013-2014,Regular Season,8470886,Clayton Stoner,4.447364369,341
2013-2014,Regular Season,8470176,Sean Bergenheim,4.423067682,342
2013-2014,Regular Season,8467496,Andrei Markov,4.414422949,343
2013-2014,Regular Season,8471657,Cody McLeod,4.366263382,344
2013-2014,Regular Season,8476195,Cory Conacher,4.342642342,345
2013-2014,Regular Season,8474612,Travis Hamonic,4.310286707,346
2013-2014,Regular Season,8474642,Lance Bouma,4.247078792,347
2013-2014,Regular Season,8474749,Matt Bartkowski,4.239724462,348
2013-2014,Regular Season,8475204,Brandon Pirri,4.219592693,349
2013-2014,Regular Season,8459444,Todd Bertuzzi,4.213439351,350
2013-2014,Regular Season,8470596,Nathan Horton,4.201898684,351
2013-2014,Regular Season,8476874,Olli Maatta,4.185969821,352
2013-2014,Regular Season,8474646,Brandon McMillan,4.133052608,353
2013-2014,Regular Season,8471498,Jannik Hansen,4.125749054,354
2013-2014,Regular Season,8475177,Calvin de Haan,4.124158845,355
2013-2014,Regular Season,8471842,Tim Kennedy,4.046647853,356
2013-2014,Regular Season,8475625,Matt Irwin,4.034208713,357
2013-2014,Regular Season,8475209,Richard Panik,4.006590688,358
2013-2014,Regular Season,8471718,Marc-Andre Cliche,3.995466893,359
2013-2014,Regular Season,8470085,Paul Ranger,3.97818754,360
2013-2014,Regular Season,8475191,Reilly Smith,3.965165107,361
2013-2014,Regular Season,8476389,Vincent Trocheck,3.940578087,362
2013-2014,Regular Season,8476879,Cody Ceci,3.939751222,363
2013-2014,Regular Season,8466333,Andrew Ference,3.921150324,364
2013-2014,Regular Season,8475155,Simon Despres,3.893957727,365
