Season,SeasonType,PlayerId,PlayerName,SumOfSumOfImpact,ImpactRank,Goals,GoalsRank,Assists,AssistsRank,Points,PointsRank,PlusMinus,PlusMinusRank,Shots,ShotsRank,Hits,HitsRank,BlockedShots,BlockedShotsRank,Giveaways,GiveawaysRank,Takeaways,TakeawaysRank,PowerPlayTimeOnIce,PPTOIRank,ShortHandedTimeOnIce,SHTOIRank,PenaltyMinutes,PIMRank,TimeOnIce,TOIRank
2014-2015,"Regular Season",8470598,"Thomas Vanek",0.217664633,551,5,212,15,76,20,110,-1,407,56,217,12,567,5,612,28,33,11,257,6209,70,46,594,6,533,32039,243
2014-2015,"Regular Season",8470852,"Matt Moulson",6.277955702,64,6,172,8,223,14,212,-6,653,70,126,23,443,20,256,10,335,12,240,5482,111,742,409,2,642,31976,244
2014-2015,"Regular Season",8474096,"Nick Spaling",0.014121631,615,6,182,9,199,15,193,4,155,39,339,53,140,23,217,5,500,3,564,456,450,3732,136,16,225,31862,245
2014-2015,"Regular Season",8470886,"Clayton Stoner",-0.888134811,767,0,601,1,623,1,628,0,360,32,408,63,93,45,81,19,108,4,497,311,474,3072,203,32,71,31821,246
2014-2015,"Regular Season",8471476,"Daniel Winnik",3.164524631,194,1,487,13,119,14,202,11,38,37,356,48,176,29,166,7,438,25,29,41,642,7157,2,6,483,31776,247
2014-2015,"Regular Season",8470187,"Johnny Boychuk",3.58607189,173,2,379,12,135,14,203,6,98,62,175,51,151,38,116,11,299,8,360,4759,147,2709,234,10,388,31713,248
2014-2015,"Regular Season",8477205,"Andrej Sustr",0.461775673,496,0,756,5,391,5,453,6,107,21,517,18,501,35,133,13,236,4,502,149,532,1994,289,10,394,31687,249
2014-2015,"Regular Season",8470274,"Chris Higgins",2.305523316,269,6,165,10,172,16,175,5,122,81,83,31,336,15,335,10,342,15,161,3802,206,3195,192,6,496,31677,250
2014-2015,"Regular Season",8470610,"Zach Parise",3.634700846,169,13,24,14,80,27,42,8,63,101,36,35,291,21,240,5,504,18,110,6082,78,703,414,25,120,31671,251
2014-2015,"Regular Season",8471392,"Roman Polak",3.012237274,208,3,323,2,530,5,485,-7,679,28,459,102,16,62,32,11,295,15,157,116,554,4933,61,12,314,31631,252
2014-2015,"Regular Season",8475772,"Riley Sheahan",5.446543887,91,7,145,10,171,17,158,2,226,61,185,6,663,6,599,9,390,11,273,5434,113,303,490,6,521,31543,253
2014-2015,"Regular Season",8475784,"Jeff Skinner",6.335507084,63,8,118,8,220,16,181,-4,588,104,30,11,584,7,573,18,133,25,24,4372,171,27,621,4,598,31486,254
2014-2015,"Regular Season",8471676,"Bobby Ryan",5.146560626,97,6,176,14,90,20,113,5,120,77,96,50,159,13,385,12,278,24,38,5773,94,444,453,10,407,31468,255
2014-2015,"Regular Season",8473534,"Patrik Berglund",3.084950578,197,4,267,7,269,11,272,0,321,63,171,39,256,13,390,5,521,12,254,2366,297,2203,272,12,329,31370,256
2014-2015,"Regular Season",8473579,"Nikolay Kulemin",4.679699774,115,6,180,7,255,13,233,-2,494,48,267,49,168,26,196,10,332,14,188,519,435,3511,171,15,253,31315,257
2014-2015,"Regular Season",8471804,"Nathan Gerbe",5.044355613,101,3,326,10,177,13,224,-2,493,92,51,32,321,4,627,10,357,16,137,4910,142,1449,338,10,400,31315,258
2014-2015,"Regular Season",8475692,"Mats Zuccarello",2.245191659,274,6,191,12,127,18,139,10,43,64,160,50,160,16,311,11,313,28,13,3794,207,800,404,23,140,31212,259
2014-2015,"Regular Season",8476855,"Nail Yakupov",0.8563953,433,4,295,4,404,8,362,-16,763,69,137,43,211,10,459,21,91,10,291,4464,165,6,660,8,474,31055,260
2014-2015,"Regular Season",8470920,"David Clarkson",0.592342402,478,9,76,3,444,12,267,-3,553,65,159,80,46,11,428,9,385,10,306,4430,167,21,632,39,37,31042,261
2014-2015,"Regular Season",8475236,"Cody Eakin",2.264331712,272,6,190,7,258,13,236,1,270,61,186,20,473,26,201,12,267,20,83,3348,241,3833,124,14,270,31013,262
2014-2015,"Regular Season",8460542,"Patrik Elias",4.09200148,140,4,242,9,201,13,229,-16,762,41,327,7,649,11,448,18,130,11,266,3977,194,3708,139,2,622,30889,263
2014-2015,"Regular Season",8474579,"Luca Sbisa",1.648902824,323,2,411,2,543,4,529,-7,682,23,507,57,116,46,79,14,207,6,426,122,548,3334,182,10,385,30839,264
2014-2015,"Regular Season",8469707,"Pierre-Alexandre Parenteau",3.234150225,188,6,162,9,198,15,192,-4,590,66,150,22,453,14,371,7,447,12,247,4262,176,66,579,14,295,30827,265
2014-2015,"Regular Season",8471242,"Mike Green",1.445864203,353,4,256,13,115,17,149,4,151,55,223,27,391,27,187,23,62,15,144,4497,163,1016,381,10,404,30821,266
2014-2015,"Regular Season",8474849,"Antoine Roussel",1.537162815,341,7,143,9,196,16,178,-3,549,52,244,43,214,29,168,17,149,17,115,2142,310,3973,111,76,3,30718,267
2014-2015,"Regular Season",8467407,"Brian Gionta",1.64379043,324,4,244,6,301,10,297,-8,697,53,240,30,346,15,337,4,549,15,167,3471,234,527,439,6,518,30686,268
2014-2015,"Regular Season",8467330,"David Legwand",1.822544549,304,6,155,8,222,14,211,-5,627,33,397,19,487,11,441,14,224,12,239,5842,90,3787,130,14,272,30643,269
2014-2015,"Regular Season",8475153,"Dylan Olsen",-2.833218509,827,1,512,5,378,6,420,-1,434,31,420,59,106,35,127,4,542,7,407,1113,371,3826,126,14,271,30570,270
