FromNodeId,ToNodeId,ACTION,Occurrences,ActionValue
1804,12620,PENALTY,24,-0.138681507
102,39403,PENALTY,25,-0.138699256
90,123060,PENALTY,17,-0.138727188
1006,21506,PENALTY,29,-0.138807665
72,10679,PENALTY,19,-0.139014414
751,77297,PENALTY,44,-0.13933859
958,47420,PENALTY,20,-0.139372421
2760,51418,PENALTY,16,-0.139651788
72,3872,PENALTY,22,-0.140016145
1023,175934,PENALTY,22,-0.140113451
1813,93703,PENALTY,20,-0.140416163
1326,42243,PENALTY,39,-0.141375956
648,1021,PENALTY,19,-0.141504432
22,66691,PENALTY,32,-0.142014323
784,19697,PENALTY,20,-0.142116919
779,39618,PENALTY,21,-0.142170353
171,44317,PENALTY,18,-0.142629632
1252,22260,PENALTY,73,-0.144363527
1804,9170,PENALTY,15,-0.144469572
159,3997,PENALTY,39,-0.144803555
1252,34805,PENALTY,26,-0.146120147
72,155924,PENALTY,25,-0.146360441
90,19124,PENALTY,24,-0.146925297
545,73866,PENALTY,34,-0.147869655
648,694,PENALTY,29,-0.148434981
592,1983,PENALTY,15,-0.148791718
102,103,PENALTY,22,-0.149808492
39,71512,PENALTY,20,-0.149922962
2251,118185,PENALTY,15,-0.150067394
281,74639,PENALTY,50,-0.150137862
2231,40059,PENALTY,31,-0.151063236
657,70645,PENALTY,17,-0.152307551
4383,17136,PENALTY,21,-0.15611535
2259,81244,PENALTY,17,-0.156314877
590,141590,PENALTY,18,-0.156384905
773,7702,PENALTY,15,-0.156924364
98,2048,PENALTY,29,-0.159590815
58,46586,PENALTY,21,-0.160791386
22,6912,PENALTY,16,-0.16246779
311,6526,PENALTY,28,-0.163044845
2225,98555,PENALTY,23,-0.167671414
335,51851,PENALTY,17,-0.171896742
2756,100309,PENALTY,18,-0.178944064
2707,33571,GIVEAWAY,36,0.118393136
4249,28683,GIVEAWAY,34,0.101703003
245,105030,GIVEAWAY,46,0.089898345
7309,31504,GIVEAWAY,34,0.084022621
1959,15547,GIVEAWAY,45,0.081513062
15,7956,GIVEAWAY,75,0.074773129
529,13790,GIVEAWAY,35,0.072741196
4467,13973,GIVEAWAY,31,0.072427384
3029,54453,GIVEAWAY,30,0.071663762
238,20574,GIVEAWAY,50,0.06621029
740,90337,GIVEAWAY,29,0.065535572
1804,54424,GIVEAWAY,43,0.06401399
281,13813,GIVEAWAY,55,0.062887145
15,40015,GIVEAWAY,76,0.059910738
657,33626,GIVEAWAY,32,0.058918739
5,4287,GIVEAWAY,33,0.053863954
2247,11512,GIVEAWAY,35,0.053523984
58,17841,GIVEAWAY,67,0.050970126
63,925,GIVEAWAY,43,0.050485489
31,9561,GIVEAWAY,106,0.049454462
1252,34784,GIVEAWAY,32,0.048407731
1873,45454,GIVEAWAY,47,0.04444501
1081,54492,GIVEAWAY,53,0.042881352
281,14734,GIVEAWAY,42,0.040762283
455,56651,GIVEAWAY,44,0.038968738
1326,42383,GIVEAWAY,43,0.03853375
609,9311,GIVEAWAY,36,0.03783332
10454,32298,GIVEAWAY,48,0.037809033
812,28302,GIVEAWAY,50,0.037724484
2876,60564,GIVEAWAY,33,0.037694984
563,6769,GIVEAWAY,53,0.037464895
2311,28262,GIVEAWAY,147,0.034548941
882,45499,GIVEAWAY,33,0.030910114
2536,10862,GIVEAWAY,35,0.030289477
711,15003,GIVEAWAY,94,0.030131237
1649,198103,GIVEAWAY,38,0.029690239
303,19209,GIVEAWAY,50,0.028460863
1326,3506,GIVEAWAY,115,0.027905512
827,47834,GIVEAWAY,64,0.025884255
4467,4468,GIVEAWAY,59,0.025782926
4501,22004,GIVEAWAY,37,0.025609176
678,4168,GIVEAWAY,39,0.0255639
2492,106154,GIVEAWAY,40,0.02542763
761,863,GIVEAWAY,33,0.025368404
352,8688,GIVEAWAY,46,0.024904715
4323,56302,GIVEAWAY,29,0.024463632
1813,42738,GIVEAWAY,29,0.024178015
3707,44318,GIVEAWAY,40,0.023278042
779,15284,GIVEAWAY,74,0.022360729
1326,17913,GIVEAWAY,142,0.022184134
4269,36056,GIVEAWAY,38,0.02126459
7389,34321,GIVEAWAY,30,0.020546033
958,51419,GIVEAWAY,29,0.020489743
678,10001,GIVEAWAY,47,0.018057773
958,2043,GIVEAWAY,73,0.01767
4408,16956,GIVEAWAY,81,0.017166831
1000,27435,GIVEAWAY,33,0.0171115
939,4089,GIVEAWAY,39,0.016858057
2967,47012,GIVEAWAY,74,0.016798753
1365,5231,GIVEAWAY,36,0.015387502
590,17863,GIVEAWAY,78,0.015303781
90,20841,GIVEAWAY,36,0.015296034
1844,30589,GIVEAWAY,35,0.014767802
31,3452,GIVEAWAY,108,0.014430857
259,50452,GIVEAWAY,33,0.014067891
